TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,NAME,IDNO,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
NST1620134,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\MNUN523.ATSPF,1990.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NST1620134,,42551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,12.0,,,,,,,,,36.0,14.0,12.0,,,,11.0,3.0,5.0,,,,,,,,,,,,,,,,7.0,5.0,2.0,,,,69.0,0.0,53.0,3.0,53.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X272767833899997199990000000000000000000000X,,,X4261132542188771788218464452224566437758318831787500000000000000000000000000000000230021002401010036002700330046003300220037008800260028003800420046011200340103003800590032004500280037004201030071003500360149002100300056016300390037011201190025005600780064003400320051009800490030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X461266362614514413500000000000X,,,X0010000000000000999999999999999900000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000099999999999999991000000010000000000101000000000000100000100000000010010000000000000010100000000088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,,X0101010101010110111101011100011101111110001100110101001110110111010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011111010110100101010011010011101011011100100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010100101110111001101110101101110100101010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSO1620124,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\IUQR142.ATSPF,1990.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,NSO1620124,,42541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,1.0,26.0,,,,,,,,,36.0,10.0,26.0,,,,16.0,9.0,0.0,,,,,,,,,,,,,,,,7.0,13.0,0.0,,,,139.0,1.0,109.0,2.0,135.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X672767835416147187379984230000000000000000X,,,X4263172544178574788628465451224854457327312432000000000000000000000000000000000000210023002400530030005400200051003100250019013900440046005700440040005900430082007700270073010300300040008800940023004101350121010200730063013100890033014201130019002400850123003700510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X421343324314513421553412400000X,,,X0010000000000000000000001000000000000100000000000000000000001000010000000000000000000000000000100000100000000000000000000010000000000000001010001000000001000000000000000010000110000000100000000010000000000001001000000000010001100000000000000011000000000000000000100100100000000001100000010010010000010000001010000100000088888888888888888888888888888888X,,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010111011000011110010011110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011010111010111101001010100011101101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101101111100101100100101101101110000111010100101110110011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSO1620121,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\BPJG019.ATSPF,1989.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,NSO1620121,,42535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,0.0,36.0,,,,,,,,,,,,7.0,8.0,3.0,,,,9.0,8.0,1.0,13.0,7.0,6.0,7.0,10.0,3.0,,,,,,,11.0,1.0,0.0,12.0,2.0,0.0,90.0,3.0,86.0,2.0,85.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762845416677187378684286352364200000000X,,,,X0000700007000320000600023012660400801216001390003800037006903276532765327650006001115002000000000000X,,X413343344314255416000000000000262416612445414262254136260000631326451432641214140000000000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100000001100000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422343321441210000000000000000X,X0101010101000110101001011100011101111110001100110101001110110111010010111011101111001110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100100111010011011111111010111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X1100010000100101110110100001011001001110000011000010100001111000001001001000100100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NST1620116,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\FHWQ052.ATSPF,1959.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Annat,NST1620116,,42524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282757000000000000000000000000000000000000X,,,,,,,,,,,,,,,,
NHU1620114,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\XJGM539.ATSPF,1994.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,NHU1620114,,42522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,25.0,,,,,,,,,,,,9.0,1.0,7.0,,,,2.0,7.0,2.0,6.0,4.0,10.0,1.0,4.0,24.0,,,,,,,12.0,3.0,2.0,15.0,2.0,1.0,115.0,1.0,100.0,1.0,108.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762165416657187374384000000000000000000X,,,,X0000700007000320003100023012860400832765327650003800047327653276532765001583276532765000000000000000X,,X161565133330000000000000000000262426265463216666660000000000666626365661666666666666666040X,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000010010000001000000010000000000100000000000100000000101000009999999999999999001000000000010000001010000000000000000000100100999999999999999988888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321491211433000000000000X,X0101000101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011010110101101010011010011101011011101110110100110111010011011011111010111101001010100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101000111100101111001011001101011101101111100101100100101111101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NHU1620109,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\QKWO147.ATSPF,1991.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,NHU1620109,,42514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,5.0,19.0,,,,,,,,,,,,6.0,10.0,1.0,,,,9.0,9.0,2.0,12.0,4.0,9.0,1.0,0.0,29.0,,,,,,,10.0,12.0,0.0,14.0,5.0,0.0,145.0,26.0,175.0,27.0,140.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999917997114379987239900000000000000X,,,,X0000700007000320000700023012840400601096001000003800047005000090001325327650006001040000000000000000X,,X453543356354514456150000000000262412262361316662252656600000636666666666666666666666666666X,,X0010000000000000000000001000000000000000000000010000000000001000010000000000000000000000000000100000100000000000000000000010000000000010000010000000100000010000000100000000000100000001100000000010000000000001001000000000010000100000000001000010000000100000001000100000010000000001100000010110000000000100010010000000010010000010100000000000000001100001X,X422322121432211432100000000000X,X0101010001010100001101001100010001110010000100010101001100010011000010001000101111001110010010001011010111010111000000011101010011100000111001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100001110000010101101010011010001101011001111110110100110111010110011100011000111101001010100011101100011000101100011010010010010101000110110101010101001100100100001111001000000000000000000000000000000000000000000000000000000000000000000000000000X,X0110010000000111110110100001010001101110000101010110100101111001011000101001101101111100101100100101111101110100111010000101110010011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NST1620102,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\FSGQ554.ATSPF,1988.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Annat,NST1620102,,42506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,12.0,21.0,,,,,,,,,,,,2.0,5.0,13.0,,,,11.0,6.0,0.0,10.0,11.0,0.0,3.0,15.0,0.0,,,,,,,7.0,8.0,0.0,5.0,4.0,21.0,79.0,4.0,60.0,4.0,79.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X242357614116142546999999999999999999999999X,,,,X0000700003000160000800028012863276500116327653276532765327653276532765327653276532765327653276532765X,,X415343354314454420000000000000152413154141434242244000000000135245543551131315000000000000X,,X0010000000000000000000001000000000000000100000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000000011000000000000011000000000101000000000000000000101000000000010010000000000010000010000000001000001000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X441444321999999999999999999999X,X0101010101010110111101011100011101110100001100110101011110111111010010111010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010010101001010010010011101011011100110110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010100111110111100001101001011101110111010111100101111010011000001011011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NST1620100,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\DDXJ487.ATSPF,1992.0,Kvinna,"1 Särskola, hjälpklass, ej avslutad grundskola",Annat,NST1620100,,42500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,5.0,11.0,,,,,,,,,19.0,7.0,12.0,,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,4.0,8.0,0.0,,,,79.0,17.0,49.0,1.0,48.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X286862999916992699990000000000000000000000X,,,X4263132144168571888728445400000000000000000000000000000000000000000000000000000000430043003900670046008000240032003400370039044100690095007500580126010701340200006002650211009502320141000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X143613360000000000000000000000X,,,X0000000000000100000000001000000000000100000000000000000000001000010000000000000000000000000000100000100000000000000100000000000001000000001000000000100010000000000100001000000000000001100000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,,X0101010100010100110001001100011001011000001000110001001110000110000010110000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110100100100010101001110100101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NST1620097,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\YBXZ122.ATSPF,1990.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Annat,NST1620097,,42499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,0.0,24.0,,,,,,,,,49.0,5.0,44.0,,,,5.0,13.0,0.0,,,,,,,,,,,,,,,,9.0,5.0,0.0,,,,86.0,1.0,65.0,6.0,61.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282763835416657187378284000000000000000000X,,,X4263172544188572788628465455224364427355318431787575780000000000000000000000000000240032002200460022002700220038001700310029005800290038003200310022003100260145005600450040011400350023002502610033003100310131001800290020018001080033004601020021003400520115002800480055006000550027008601330039004400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X435553514415114441000000000000X,,,X0010000000000000000000001000000000000000000000010000000001000000001000000000000000000000000000100000100000000000000000000010000000000010000010000000000110000000000101000000000000000000101000000010010000000000001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,,X0101010101010110111101011100011101011110001100110101001110110111010010111011101111001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010111101001010011010011100011011100110110101110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100111110101101110100101010111100101111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSO1620092,Stockholm TC,Dator 05,Testcentrum Odenplan,C:\Users\morbespc\Documents\ATS5\Personer\KKDQ694.ATSPF,1982.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NSO1620092,,42489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,5.0,19.0,,,,,,,,,,,,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,93.0,0.0,63.0,1.0,89.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999916993699379984230000000000000000X,,,,X0000700007000343276500023012860400001218327650003600047327653276532765000000000000000000000000000000X,,,,,X422332321431200000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110100101010011010011101011011101110110100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101100111100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
