TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,IDNO,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
NUM1620918,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\JLZH452.ATSPF,1974.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,NUM1620918,42535.0,Gerd Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,20.0,,,,,,,,,38.0,1.0,33.0,,,,,,,22.0,2.0,0.0,18.0,10.0,0.0,20.0,10.0,0.0,,,,,,,11.0,1.0,0.0,10.0,0.0,0.0,123.0,3.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187370000000000000000000000X,,,X4263172544188572788428465453224764467350000000000000000000000000000000000000000000180015002000150021002500140035001400230023014900360167003700600035004700180196003700290037004800290029002003280063002600260385005100250018014500370029002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X421343322354524423124435000000232411252555413252242455325100333123254322233414235545324344X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010010000001000000010000000000100000000000100100000000100008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321400000000000000000000X,X0101010101010110111101011100010101111110001100110101001110110111010010111010101111001110010110001011000111010111011000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011111010111101001010100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101101111100101100100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1620910,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\FGEM345.ATSPF,1991.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1620910,42500.0,Gerd P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,1.0,36.0,,,,,,,,,52.0,5.0,48.0,,,,,,,7.0,5.0,3.0,16.0,4.0,3.0,4.0,5.0,9.0,,,,,,,15.0,1.0,0.0,16.0,0.0,0.0,161.0,5.0,95.0,0.0,138.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187379984237854546572410000X,,,X4263172544188572788628465451224764437352312431787571786640000000000000000000000000220017002600320018002800170035001200210025005400500021003000310017005400270122003100430036004100350027016003710025002400340215002500240022007900420020006400860021001400530041008400170075004100360034007100820079005500530052002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X461563322355635000000000000000262412652445414242244630000000635466154666663346000000000000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000001010000000000100000000100000100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211400000000000000X,X0101010101010110111100011100011101111110001100110101001110110111010010111011100011001110010110001011010111010111011000011111010011110010110001101010100101110101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011111010111101001010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101100101101110100101010111100101100001111001101001101101111100101000100101111101110100111010100101110010011111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1620908,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\XOVC979.ATSPF,1980.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,NUM1620908,42493.0,Gerd P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,2.0,78.0,0.0,61.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0101010101010110111101011101001101111110001100110101001110110111010010111011101111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1620803,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\WEJZ459.ATSPF,1967.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1620803,42480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,0.0,35.0,,,,,,,,,62.0,1.0,54.0,,,,,,,19.0,1.0,0.0,25.0,5.0,0.0,25.0,5.0,0.0,,,,,,,15.0,1.0,0.0,16.0,0.0,0.0,135.0,2.0,91.0,5.0,85.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416647187374384237854646500000000X,,,X4263172544188572788628464453224764467358318431787572786645427350000000000000000000210024001800200019002800200032001900220019004200280025002000210018002300170055002200200030002100200045002000810030001800180110001700190014003000420032007100960018001800660023002000230031003000280038003601030033002400320057002100310193007001230132030200000000000000000000000000000000000000000000000000000000000000000000X,,,X421343322114524423520000000000232412252441414222242353425214335323251322233454235242443541X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000011000000000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211400000000000000X,X0101010101010110111101001100011101111110001100010101001110110111010010111011101111001110010110001011010111010111011000011111010011110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011101011011101110110100110111000011011101111010011101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101101001011001101011101100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1620906,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\ANSR464.ATSPF,1977.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1620906,42479.0,Gerd Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,28.0,10.0,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,1.0,9.0,10.0,0.0,93.0,3.0,85.0,3.0,70.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263132242118375728828465457224564487355314131787581785345148144828214720000000000230017002300420022001700240037001500280020004500330038003100390027002800230047002300440021002600220019002400410021002100260046001500350016003500230019003600370027003500310064002100350070005400400035003900650032005000390047002700650091006200920079003500440123016300480036007200580029003000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000000000000000010000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100000001100000000000100000000001000001000000000199999999999999990011000000000000000001100000010088888888888888888888888888888888888888888888888888888888888888888888888888888888X,X414343331434232342300000000000X,X0101010101010100111101011100011101111110001100110101001110110111010010101011101111001110011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011101011011101110110000110111010011011111111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111110010100111110011100101110000001110100101010111100101111001001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1610814,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\PHRF619.ATSPF,1978.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1610814,42443.0,AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,14.0,14.0,,,,,,,,,45.0,16.0,43.0,,,,,,,22.0,8.0,0.0,17.0,5.0,8.0,14.0,5.0,11.0,,,,,,,11.0,2.0,1.0,14.0,2.0,0.0,130.0,1.0,100.0,3.0,110.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999916999999379999999999997212999999X,,,X4261172544188572788428145471224264427352318531747552785245124000000000000000000000180017002100550017004800180044001400430030005000250077003400470024006400400069003400350024003300340023003900670030004200290068003700260022008900480042002100560023002400830098003100730100006800680048010300310049004800890043002900630144003700910000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X421343322454514413524115525544232412251415314262222356666666336321256362653464665545616646X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000099999999999999991000000010000000000100000000000100000001100000000100000000000001001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422344331431211400000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110011110001011010111010111011000011111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010010001111111010111101001010100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111100101110101101010100101010111100101111000011001101010100110111100101100100101111101110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1610811,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\RLUP580.ATSPF,1995.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1610811,42431.0,AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762184516000000000000000000000000000000X,,,,,,,,,,,,,,,,
NUM1610912,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\YATT644.ATSPF,1992.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1610912,42409.0,Gerd Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,4.0,10.0,,,,,,,,,19.0,6.0,12.0,,,,,,,5.0,4.0,0.0,9.0,4.0,0.0,9.0,2.0,3.0,,,,,,,7.0,2.0,1.0,2.0,3.0,1.0,85.0,4.0,103.0,2.0,74.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X642857999982991899000000000000000000000000X,,,X4267172144138772783628265000000000000000000000000000000000000000000000000000000000440037004201780060025101200104002300390027046300320168004300320024023200930157003801030032047800890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X423543344000000000000000000000232412115441400000000000000000335123251652660000000000000000X,,X0000000000000100000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000001009999999999999999888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X444292000000000000000000000000X,X0101010101010110101101001100011101111110001100110101001110110111010010110001101111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011111010110101101010011010011100011011101110110100110111010011011011111010111101001010100011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NUM1610810,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\ZRJX976.ATSPF,1981.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1610810,42408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM1610806,Umeå,Dator 02,Testcentrum1,C:\Users\ologrspc\Documents\ATS5\Personer\ZFQZ307.ATSPF,1994.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NUM1610806,42398.0,AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,30.0,,,,,,,,,33.0,3.0,29.0,,,,,,,13.0,7.0,5.0,9.0,5.0,9.0,3.0,2.0,22.0,,,,,,,10.0,1.0,0.0,14.0,0.0,0.0,114.0,2.0,86.0,0.0,115.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187374384237854000000000000X,,,X4263172544188572788628465451224564450000000000000000000000000000000000000000000000200021003900680022002700320041003200200032005500340045007200680045003300420090007000260062009400560026010005460089004400550435006000620034033600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X421313352136654426516436100000262416656641436662624150000000665666556666666666664646666000X,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000188888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431210000000000000000X,X0101010101010110111101011100011101111110001100100101001110110111010010111011101111001110010110001001010111010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011111010111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111100101110101101110100101010111100101111001011001101001101101111100101100100101111101110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
