TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,IDNO,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
SKA1630001,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\YLAN280.ATSPF,1965.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,ska1630001,42605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,2.0,74.0,5.0,98.0,5.0,,44.0,2.0,24.0,0.0,25.0,1.0,14.0,3.0,50.0,1.0,5.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0101010101010110111101011100011101111110001100110101001010110111010010111011101111001110010110000011000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011101011011100110100100110111010010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111100101110101101110100001010111100101110001011001101001101100111100101100100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011011010100110001110111111000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111010111001011110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100001111101011010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100010110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001010001111011110010111010110111010010100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000111101010011001010001011010000101100X,,
SKA1620232,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\EGEF792.ATSPF,1967.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,ska1620232,42523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20.0,2.0,,,,,,,,,11.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,0.0,9.0,1.0,0.0,55.0,1.0,59.0,7.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X289999999999999999999999999999999999999999X,,,X4467135346168788783628700000000000000000000000000000000000000000000000000000000000310106006301750065006200700212004100490210033000980052015401260039012001910062005100580293000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000100000000000000001000000000010000000000000000000000000000100000100000000000000000000010000000000000001010000000000011000000000100000000000100100000000100000000000000000101001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422332321400000000000000000000X,X0101010101010110111101011100011001111110001100110101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011110000010101001010011010001100011011001110110100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SKA1620655,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\QKFP225.ATSPF,1982.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Annat,ska1620655,42521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,8.0,,,,,,,,,21.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,1.0,2.0,0.0,35.0,3.0,25.0,1.0,29.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762850000000000000000000000000000000000X,,,X4267172544188572788618400000000000000000000000000000000000000000000000000000000000590066010802680094008900540107013200650066013600610070005901320070008600990153017801010327000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000000001000999999999999999900000000000000109999999999999999888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X413000000000000000000000000000X,X0001010000010110111101011100011101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100111111010110101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010100111110111110001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SKA1620231,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\ODKI310.ATSPF,1966.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,ska1620231,42516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,12.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,80.0,2.0,60.0,1.0,77.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263172244118772788728465455224766457756318331747577700000000000000000000000000000320028002200460034003300280047002300320042004100390026002800610067012200240068004800800091005800540048008400670047004400390082002600210043005700900027006500980025002700960103003000630080011100850055012300640029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,,X422342321331000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010011000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011101011011101110110100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101110101101110000101010111100101111001011001101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
TP999,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\UFDX736.ATSPF,1964.0,Man,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,,42478.0,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,0.0,38.0,17.0,3.0,0.0,40.0,20.0,3.0,0.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416647187374384237854646512470000X,X867525543754855286177275466716476245355600X,X53262426157582731632372326282515856743431723610000X,,,,,,,,,,,,,,
TP999,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\UAVD299.ATSPF,1990.0,Man,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,,42453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKA1610424,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\QMPL740.ATSPF,1958.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,ska1610424,42452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,3.0,95.0,4.0,95.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0101010101010110111101011100011101111110001100110101001110110111010010111011101011001110000110001001010111010111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011100011001101110110101100111010011011011111010111101001010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0101010010100011110111100101110101101110000101010111100101111001011001101001101101111100101000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SKA1610422,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\HETT747.ATSPF,1985.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,ska1610422,42451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,4.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X53232426997599999942732327283500000000000000000000X,,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000100000000001001000000010000000000100000000000199999999999999990100010000000000001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431210000000000000000X,,,,,,,
SKA1610753,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\VRSH353.ATSPF,1967.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,ska1610753,42447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,2.0,16.0,,,,,,,,,29.0,2.0,26.0,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,0.0,5.0,1.0,0.0,100.0,0.0,70.0,2.0,70.0,0.0,,,,,,,,,,,,,,,,,,,,,9.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,X282762835416992699370000000000000000000000X,,,X4263172544148572788228465453224000000000000000000000000000000000000000000000000000260038004401340036005800270232003700210029054800540069004000710032007200400075005500390026007300620027005104450026002600560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010010000001000000001000000000100000000000188888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422322000000000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011010110101101010011010011101011011001110110100110111010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X911190911900001911019999X,
SKA1610558,Karlstad,Dator 01,ar enheten karlstad,C:\Users\annisspc\Documents\ATS5\Personer\QGPR062.ATSPF,1984.0,Man,Okänd,Svenska/Danska/Norska,ska1610558,42446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,21.0,,,,,,,,,51.0,3.0,42.0,,,,,,,19.0,1.0,0.0,22.0,7.0,0.0,15.0,11.0,0.0,18.0,7.0,0.0,11.0,14.0,0.0,,,,,,,145.0,3.0,129.0,0.0,136.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657143370000000000000000000000X,,,X4263172544188572788628465455224764467356318431787574780000000000000000000000000000170014001600390017002400190098001100140021004200260018002200280015002100220083001800240044004600270024014401040021001900220098001600160017013000340018009201840016002100960021002200250269002300220032018003000025005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X421343322314524413520000000000212412252445415222242153225230335322131352552434223542510000X,X111452411132513435251424300000145124144141122111324414100000000000000000000000000000000000X,,,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001001010111010111011000011111010011110010110000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011111010111101001010100011111101011001101110011010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101110101101110100101010111100101111001011001101011101101111100101100100101111101110000111010100101010110011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
