TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,IDNO,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
NNO1626243,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\QCZW107.ATSPF,1978.0,Kvinna,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,NNO1626243,42536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,0.0,,,,29.0,1.0,0.0,19.0,7.0,0.0,23.0,5.0,2.0,,,,,,,13.0,1.0,0.0,18.0,1.0,0.0,135.0,2.0,86.0,1.0,80.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0000700007000320000900023012860400801296001070003800044006900090001525001580009000000000000000000000X,,X421343322314524423524435525531232412252415415212252452450000335323251322633354235212523246X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100000000000001001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211423200000000000X,X0101010101010110111101011100010101111110001100110101001110110111010010111011101111001110010110001011010111010111011000011110010011110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011001011111010111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101110101101110100101010111100101111000111001101011101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NNO1624242,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\RYBT662.ATSPF,1991.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,NNO1624242,42534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,6.0,29.0,1.0,60.0,6.0,36.0,1.0,60.0,5.0,40.0,1.0,5.0,7.0,5.0,10.0,5.0,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X010101000101010011110001110001010101111001110011010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111010111001011010101000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010001101000001010110101001101001110001101110111011010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110111110010001110100101111101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101000010010101011010010111010110111010010101011110010111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111001100011011000001100111010111001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100101111100110011111111111111011111111100101111X,,
NNO1626231,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\NJCC610.ATSPF,1973.0,Kvinna,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,NNO1626231,42534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,0.0,,,,19.0,0.0,0.0,15.0,10.0,0.0,19.0,5.0,0.0,,,,,,,6.0,9.0,0.0,7.0,4.0,0.0,114.0,2.0,84.0,1.0,75.0,1.0,,43.0,1.0,10.0,0.0,50.0,2.0,19.0,2.0,44.0,3.0,18.0,3.0,4.0,8.0,6.0,11.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0000700007000320000900023012860400801316002000003800047025000000000000000000000000000000000000000000X,,X421343322314524423500000000000232312252325114222122334300000335125233332233454235542000000X,,X0010000000000000000000001000000000000100000000000000000000001000001000000000000010000000000000000000100000000000000000000010000000000001000000101000000001000000000001000001000000100000000100000000000000000101010000000000010000001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X434344331430000000000000000000X,X0101010101010110110101011100011101111110001000110101001110110111010010111011101111001110010110001011010111010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111110011011011111000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110000101010111100101111001011001101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011011110101110001110111011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001111001011010100101001101001110101101110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000111110010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100001010011111011110000110010110111000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101001000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110011101101111011011111111011101111111101111111X,,
TP999,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\UHLS421.ATSPF,1993.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NNO162411,42522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,46.0,18.0,50.0,17.0,10.0,2.0,46.0,15.0,25.0,6.0,3.0,5.0,6.0,11.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111010101001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010001111000011000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001000000000100001000000101010010011000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111001000010010010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010001010011100001101101010011010110100111110X,,
NNO1630202,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\FOMI837.ATSPF,1973.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NNO1630202,42506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,6.0,,,,15.0,4.0,1.0,8.0,9.0,7.0,9.0,6.0,4.0,,,,,,,12.0,2.0,1.0,15.0,0.0,0.0,105.0,0.0,75.0,0.0,73.0,4.0,,25.0,6.0,42.0,17.0,49.0,7.0,50.0,9.0,18.0,4.0,48.0,8.0,2.0,3.0,3.0,7.0,2.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0000700007000323276500023012860400801296327650003800056327653276532765001580006032765000000000000000X,,X461343322314513425120000000000232316152655113466624466000000335326231561133615600000000000X,,X0010000000000000000000001000000000000000000000010000000001000000999999999999999900000000000000100000100000000000000000010000000000000010000010001000000010000000000100000000000100100000000100000100000000000001001000000000010000001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010000111110110100101010001101110100101010111100101111001011001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010000010010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000100010000000000100010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001101100001010110101001101001110001000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100010000010001010000100111101001101010010011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101001100010001010001100011010100001100111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100101011000111111001101001111000000000000000000X,,
NNO1620203,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\YROG356.ATSPF,1985.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NNO1620203,42506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,35.0,0.0,45.0,3.0,20.0,0.0,51.0,0.0,18.0,0.0,5.0,10.0,6.0,11.0,4.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X111111010101011011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111010111001011110101000110010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001111000001010110101001101001110101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110111110010001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001010011111011110010111010110111010010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111001100011011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101111111110101101111111111111111011111111111110X,,
NNO1636191,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\OFID369.ATSPF,1970.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NNO1636191,42503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,,,,22.0,5.0,1.0,13.0,6.0,11.0,12.0,12.0,6.0,,,,,,,8.0,5.0,3.0,2.0,3.0,25.0,124.0,10.0,103.0,11.0,250.0,131.0,,20.0,1.0,40.0,8.0,72.0,15.0,50.0,11.0,119.0,62.0,48.0,16.0,1.0,1.0,4.0,10.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,X3276532765327653276532765327653276532765327653276532765327653276532765327653276532765327653276532765X,,X421343322316554413124433525200232412236655453256256356666666311326253321613655665515514651X,,X0000000000000100000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010000000000110000000000000000000101099999999999999999999999999999999011000000000000000100000000001009999999999999999888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X449999199999299999999199999999X,X0101010001010110100100011100011101111110001100110101001110010111010000101011101001001110010110001001010111010111011000011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011011000010100101010011010001101011011101010110100010111010011011011001000111101001010100011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0001000010000100001000010000100001000010000100001001000010000100001000010000100001000010000100001000000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001X,,X010101000101011010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000101001011000101000010010010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001100000001010110101001101001110001000010111011010010110100000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000100010010000110100100011101001111010010011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001000000000000000000000000010000000000000000000000000000100001111010100000000010100000000000000000000000000000001010000000000000000000000000000000000101000101010000010001100110010111100001100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000010101000001001001011001000010100101100X,,
NNO1626161,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\LNZQ163.ATSPF,1981.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NNO1626161,42480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,13.0,,,,2.0,7.0,18.0,1.0,1.0,28.0,2.0,2.0,26.0,,,,,,,0.0,18.0,4.0,7.0,23.0,0.0,115.0,20.0,63.0,17.0,123.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0000100006000120003000018010063276532765327650001232765327653276532765327653276532765327653276532765X,,X435566666462666656666636656000162666666666666666666666666666365666166666666646666666666666X,,X0000000100000000000000000010000000000000100000000010000000000000000000000010000001000000000000000001000000000000010000000000000001000000000001009999999999999999001001000000000000100000000000011000001000000000000001010000000000000100000000010010010000000000999999999999999999999999999999999999999999999999000100100001000010000000001100000010010000100000X,X134324413234314324242343242324X,X0101010001010100000101001100010101001100000100010101001000100011000010110001101111001110010110001011010110010111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0101100110110000011001001010011010011100000001101010101100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100001100101110111000101000110000110001010000110000010101000110100101011001001011000010001000101001000110110010000101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NNO1626151,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\KGYX896.ATSPF,1964.0,Kvinna,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,NNO1626151,42479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,1.0,,,,26.0,4.0,0.0,25.0,4.0,1.0,29.0,1.0,0.0,,,,,,,10.0,8.0,0.0,3.0,12.0,0.0,145.0,6.0,113.0,6.0,110.0,2.0,,60.0,3.0,49.0,2.0,50.0,0.0,30.0,3.0,50.0,0.0,45.0,4.0,4.0,12.0,6.0,10.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0000700007000320000800023012860400801296327650003800047006900082501525001580006001040000000000000000X,,X421343122314524221524135525551232412252445411232252353402113335323251322233454235142523525X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000001001000000010000000000000001000000100000000100100000100010000000000011000000000000000010000001000000000000001100000010000100100000010000000100100008888888888888888888888888888888888888888888888888888888888888888X,X244433322342234000000000000000X,X0101010101010110111101011100010101111110001101110001011110110101010010111011101111001110010110001011010111010111011000010111010011110011111001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011010110101101010011010011101010011101110110100110111010011011101111010111101001010100011101001011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111100001110101101110100101010111100101111001011001101011101101111100101100100101111101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011010100101110001110111111010110011010100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111010111001011100101010110010011010111011111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001111101011010110101001101001110101101000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110010110010001100100100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101001010011111011110010111010110111010010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010110001100011011000001110111010110001100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101011100011101101011111101111111111111110111111X,,
NNO1610141,MO3 (Norrköping),Dator 01,AR Norrköping 1,C:\Users\blbinspc\Documents\ATS5\Personer\QUDT469.ATSPF,1978.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,NNO1610141,42479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,0.0,2.0,5.0,0.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0010000000000000000000000010000000000100000000000000000001000000000000000000010000000001000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X444421300000000000000000000000X,X0101010001010110111101011100011101110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,,
