TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,IDNO,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
SKR1631233,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\AHEP147.ATSPF,1967.0,Kvinna,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,SKR1631233,42620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,0.0,33.0,,,,,,,,,,,,15.0,0.0,0.0,,,,22.0,8.0,0.0,21.0,4.0,5.0,27.0,1.0,2.0,16.0,4.0,2.0,18.0,6.0,6.0,15.0,0.0,0.0,17.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,X282762165416657187374687237854640000000000X,,,,X0000700007000320000900023012860400801296001070003800047006900082501525001580000000000000000000000000X,,X421343322354524221124112525521232412252441413266222453400013335323251322233454235542623546X,X111462431112525445261400000000545154145362126246435312610013000000000000000000000000000000X,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422343321431211422000000000000X,,,,,,X091101011900919919119910X,
SKR1631226,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\YGHE475.ATSPF,1978.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,SKR1631226,42618.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,17.0,9.0,,,,,,,,,,,,12.0,3.0,5.0,,,,5.0,8.0,3.0,3.0,1.0,26.0,0.0,0.0,30.0,4.0,5.0,21.0,1.0,1.0,28.0,8.0,5.0,2.0,8.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,X126585999982999999999999999999999999999999X,,,,X0000700007000320000900023012860400801296001070003800047007203276532765001580006001040327653276532765X,,X431453162462264200000000000000262616666666666666664666666666666666666666666666666666666666X,X456556666612666666666466616466666666666666666666456666666666000000000000000000000000000000X,X9999999999999999000000001000000000000000000000010000000001000000001000000000000000000000000000100000100000000000000100000000000000110000000000001000000010000000000000000010000100100000000100000010000000000001999999999999999900001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X441324312349211423400000000000X,,,,,,X111111919911919999999999X,
SKR1631221,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\QKGZ859.ATSPF,1968.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,SKR1631221,42597.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,0.0,20.0,,,,,,,,,,,,12.0,0.0,0.0,,,,12.0,2.0,0.0,16.0,4.0,1.0,9.0,5.0,2.0,14.0,2.0,0.0,7.0,4.0,3.0,8.0,1.0,0.0,8.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,X282763165616657187370000000000000000000000X,,,,X0000700007000320000900023012860400801296001070003800047006900000000000000000000000000000000000000000X,,X421323324314520000000000000000232412252445414162152000000000633116251322212400000000000000X,X111452415122525200000000000000545662144364130000000000000000000000000000000000000000000000X,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010010000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422341331400000000000000000000X,,,,,,X000100010909101000999999X,
SKR1631219,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\UCYQ904.ATSPF,1961.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,SKR1631219,42584.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,19.0,4.0,,,,,,,,11.0,2.0,1.0,,,,22.0,8.0,0.0,16.0,2.0,8.0,15.0,5.0,5.0,13.0,6.0,9.0,15.0,2.0,13.0,14.0,0.0,0.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,X265399999999999999999999999999999999999999X,,,X0000700007000320000900023012880400801296327650003800047006900082501110000000000000000000000000000000X,,X421343322314324411123435555231232416252445116266622356660000332123256332633656235222600000X,X111462611112626665466454644500345164146332161646466662620002000000000000000000000000000000X,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321491210000000000000000X,,,,,,X191100999100001111109019X,
SKR1631219,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\AIOL224.ATSPF,1979.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,SKR1631219,42579.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,0.0,37.0,10.0,8.0,0.0,40.0,,,,,,,,11.0,4.0,5.0,,,,16.0,8.0,1.0,6.0,9.0,15.0,7.0,16.0,2.0,8.0,16.0,0.0,8.0,20.0,0.0,8.0,8.0,0.0,6.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762845416657887364686237854360000000000X,X867525513724265286177884186316456242000000X,,,X0000700007000320000900023012860400801296001070003800085004503276532765001580006001025327653276532765X,,X425313324414254463553435500000232516166655134466446466666666545621553335235342315015100000X,X131122215152133243151124000000545222242444143511553411233200000000000000000000000000000000X,X0010000000000000000000001000000000000100000000000000000001000000001000000000000000000000000000100000100000000000000100000000000000110000000000001000000010000000000001000010000000000001100000000010000000000001001000000000010000001010000000000000001000001000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422423321000000000000000000000X,,,,,,,
SKR1631203,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\GTHN269.ATSPF,1995.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,SKR1631203,42563.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,14.0,,,,11.0,15.0,4.0,9.0,19.0,2.0,10.0,20.0,0.0,11.0,19.0,0.0,7.0,23.0,0.0,7.0,15.0,0.0,10.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,X0000700007000320000900023327653276532765327650004832765327653276532765327653276532765327653276532765X,,X435343314455254446513416621261562412242423213461524124111223315325535233231125314342223232X,X111151412112234443435221311225342313412321222215154211523321000000000000000000000000000000X,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000001000000000010100000000000010000000100000001100000000000110000000000011000000000000001100000000000000000001000001000000000110100000000100001100000000110000000000100000010000100010000100000000101000000000001100010X,X441323422231131443342444323240X,,,,,,X111191919199999999911911X,
SKR1621210,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\IKRA732.ATSPF,1991.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Annat,SKR1621210,42524.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,0.0,51.0,19.0,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X87183864247673616245271481563513251616342315381654X,X4447172444158774728618365452223000000000000000000000000000000000000000000000000000820061005400610067004100420127004101030047072100430035002700450037014300900048005200430117006900720037017801680118002600480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,,X441423122144230000000000000000X,,,,,,,
SKR1621208,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\EPPW470.ATSPF,1990.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,SKR1621208,42517.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,3.0,30.0,,,,,,,,4.0,8.0,0.0,,,,15.0,4.0,0.0,14.0,3.0,4.0,7.0,8.0,9.0,15.0,3.0,6.0,6.0,3.0,12.0,11.0,8.0,0.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,X381599995754651599573784426364470000000000X,,,X0000700007000360000800022012860399801016001100003800046000300000000000000000000000000000000000000000X,,X431345322414524413500000000000232412651655416262252000000000425326161641631662626546000000X,X111452416162633465251466000000645164611166626666466000000000000000000000000000000000000000X,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000000000001000000000000010000000000010010000001000000010000000000100000000000100000001100000000100010000000000001000000000010000100000000001000000001000001000000000100100100001000100100000000110000000000100888888888888888888888888888888888888888888888888X,X442342300000000000000000000000X,,,,,,X111100919111110091999999X,
SKR1621204,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\MUPK532.ATSPF,1977.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,SKR1621204,42515.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,,,,20.0,1.0,0.0,18.0,3.0,1.0,15.0,2.0,8.0,10.0,1.0,1.0,9.0,3.0,8.0,13.0,0.0,0.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0000700007000360000900023012860400801296001070003800047006900000000000000000000000000000000000000000X,,X421343322354524423524000000000232412252441416212242400000000335326256366633354665545600000X,X111452411162000000000000000000545264145365666616460000000000000000000000000000000000000000X,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422332321431210000000000000000X,,,,,,,
SKR1621202,Kristianstad,Dator 05,Testcentrum Kristianstad,C:\Users\paltospc\Documents\ATS5\Personer\LBXP249.ATSPF,1990.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Svenska/Danska/Norska,SKR1621202,42507.0,jontn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,12.0,18.0,,,,,,,,3.0,2.0,15.0,14.0,16.0,0.0,13.0,15.0,0.0,7.0,23.0,0.0,8.0,15.0,7.0,3.0,23.0,4.0,6.0,16.0,8.0,,,,,,,95.0,11.0,75.0,8.0,73.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X387499998199998499993448426836999999999999X,,,X0000700007000323276500021327653276532765327653276500081327653276532765327653276532765327653276532765X,X423333342424224443555511524234X,X455543345455444423541435514400122432221223454553222211254422443366555625534222346522226566X,X544426544533433554463111246565666336666451125644445554432221000000000000000000000000000000X,,,X0101010101010100111101001100011101100110001100110101001110110010100010111011101101001110011010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011000010101001010011010001101011001101110110100110111000111000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110110100001100100101110010001010111100101110000111001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X100000100001000010011100X,,,
